Incident Date,State,City Or County,# Incidents
August,Ohio,Columbus,1.0
June,Indiana,Hobart,1.0
May,South Carolina,Mc Bee (Mcbee),1.0
March,Indiana,Fort Wayne,1.0
June,Massachusetts,Lynn,1.0
May,Connecticut,Hartford,1.0
April,Virginia,Williamsburg,1.0
May,Iowa,Des Moines,1.0
May,Idaho,Latah (county),1.0
November,Nevada,West Wendover,1.0
July,Oregon,Umatilla,1.0
July,Colorado,Fort Collins,1.0
June,Florida,Cocoa (Port Saint John),1.0
May,Mississippi,Terry,1.0
October,Kentucky,Nicholasville,1.0
April,Texas,Houston,1.0
September,Texas,Tornillo,1.0
January,Nebraska,Genoa,1.0
July,California,Long Beach,1.0
January,Oregon,Sherwood,1.0
March,California,Santa Rosa,1.0
March,Maryland,Edgewood,1.0
March,Florida,Vero Beach,1.0
December,New York,Guilford,1.0
August,Idaho,Nampa,1.0
July,Tennessee,Morristown,1.0
June,Minnesota,Halstad,1.0
June,Pennsylvania,Columbia,1.0
February,Arkansas,El Dorado,1.0
June,Michigan,Flint,1.0
June,Illinois,Chicago Heights (Ford Heights),1.0
June,Florida,Palm Bay,1.0
October,Maine,Hebron,1.0
April,Florida,North Port,1.0
April,Michigan,Detroit,1.0
October,Pennsylvania,Berwick,1.0
July,South Carolina,Lancaster,1.0
June,Wisconsin,Madison,1.0
June,Louisiana,Port Barre,1.0
June,South Carolina,Gaffney,1.0
March,Nevada,Las Vegas,1.0
April,Maine,Greene,1.0
January,Tennessee,Knoxville,1.0
May,Arkansas,Little Rock,4.0
October,Michigan,Detroit,1.0
June,Colorado,Loma,1.0
March,Alaska,Barrow (Utqiagvik),1.0
November,Texas,Kountze,1.0
November,Minnesota,Aurora,1.0
February,Mississippi,Gulfport,1.0
June,Missouri,Saint Louis,1.0
July,Florida,Eustis,1.0
March,Texas,Diboll (Burke),1.0
April,Massachusetts,Palmer,2.0
April,Indiana,Bedford,1.0
August,Delaware,Wilmington,1.0
June,Louisiana,New Orleans,1.0
July,Missouri,Columbia,1.0
June,South Carolina,Anderson,1.0
September,Ohio,Cleveland (Parma),1.0
May,Washington,Cle Elum,1.0
July,Louisiana,Lake Charles,1.0
July,Alabama,Cedar Bluff,1.0
March,Texas,Martinsville,1.0
August,Montana,Helena,1.0
May,South Carolina,Walterboro,1.0
May,South Carolina,North Myrtle Beach,1.0
December,Texas,Cypress,1.0
March,Texas,Fort Worth,1.0
April,Missouri,Columbia,1.0
May,Minnesota,Minneapolis (Plymouth),1.0
July,Florida,Saint Augustine,1.0
June,Mississippi,Brookhaven,1.0
June,Kansas,Sawyer,1.0
May,North Carolina,Greenville,1.0
July,Oklahoma,Bethany,1.0
April,Ohio,Tipp City,1.0
August,North Carolina,Winston Salem (Winston-salem),1.0
March,Wisconsin,Sparta,1.0
October,Texas,Dallas,1.0
April,Kansas,Hutchinson,1.0
March,California,Tracy,1.0
June,Florida,Fort Lauderdale (Lauderhill),1.0
June,Tennessee,Nashville,1.0
April,Alabama,Mobile,1.0
August,Texas,Nome,1.0
June,North Dakota,Mayville,1.0
March,North Carolina,Fayetteville,1.0
June,Illinois,Chicago,1.0
May,Arizona,Mesa,1.0
June,Mississippi,Carthage,1.0
April,Alabama,Leeds,1.0
March,Alabama,Tuscaloosa,1.0
August,Illinois,Chicago,1.0
August,Texas,Bryan,1.0
February,Illinois,Belleville,1.0
January,Indiana,Holton,1.0
July,New York,Bronx,3.0
February,Louisiana,Monroe,1.0
March,Florida,Lakeland,1.0
May,Pennsylvania,Chambersburg,1.0
August,South Carolina,Beaufort,1.0
October,Kentucky,Georgetown,1.0
November,New York,Sherman,1.0
July,Oklahoma,Davis,1.0
