,Incident Date,State,City Or County,# Killed,# Injured
456,"June 19, 2017",Ohio,Barberton,1.0,0
457,"June 19, 2017",Georgia,Macon,1.0,0
458,"June 18, 2017",Pennsylvania,Saylorsburg,1.0,0
459,"June 17, 2017",Oklahoma,Tulsa,1.0,2
460,"June 16, 2017",Texas,San Antonio,1.0,0
461,"June 16, 2017",Georgia,Dallas,1.0,0
462,"June 16, 2017",South Carolina,Spartanburg,1.0,0
463,"June 14, 2017",Oklahoma,Tulsa,1.0,0
464,"June 14, 2017",Florida,Palm Bay,1.0,0
465,"June 12, 2017",Texas,Dayton,1.0,0
466,"June 11, 2017",Alabama,Montgomery,1.0,0
467,"June 11, 2017",Georgia,Columbus,1.0,0
468,"June 11, 2017",Pennsylvania,Washington,1.0,0
469,"June 10, 2017",Indiana,Hobart,1.0,0
470,"June 10, 2017",South Dakota,Tripp (county),1.0,0
471,"June 10, 2017",California,Pacifica,1.0,0
472,"June 8, 2017",California,Antioch,1.0,0
473,"June 8, 2017",Louisiana,Farmerville (Rocky Branch),1.0,0
474,"June 8, 2017",Florida,Cape Coral,1.0,1
475,"June 8, 2017",Mississippi,Monticello,1.0,0
476,"June 7, 2017",Arkansas,Conway,1.0,0
477,"June 7, 2017",Florida,Fort Lauderdale (Lauderhill),1.0,0
478,"June 6, 2017",Tennessee,Nashville,1.0,0
479,"June 6, 2017",Virginia,Chesterfield,1.0,0
480,"June 5, 2017",Illinois,Joliet,1.0,0
481,"June 4, 2017",Missouri,Saint Louis,1.0,0
482,"June 4, 2017",South Carolina,Anderson,1.0,0
483,"June 3, 2017",Louisiana,Opelousas,1.0,0
484,"June 3, 2017",Pennsylvania,Chester,1.0,0
485,"June 2, 2017",Colorado,Lafayette,1.0,0
486,"June 1, 2017",Missouri,Saint Louis,1.0,0
487,"June 1, 2017",Missouri,Saint Louis,1.0,0
488,"June 1, 2017",Texas,Houston,1.0,0
489,"June 1, 2017",Tennessee,Arlington,1.0,0
490,"May 31, 2017",Kansas,Topeka,1.0,0
