,Incident Date,State,City Or County,# Killed,# Injured
347,"April 29, 2018",Florida,Jacksonville,0,1.0
348,"April 28, 2018",Illinois,Barrington,0,1.0
349,"April 28, 2018",South Carolina,Bluffton,0,1.0
350,"April 28, 2018",Kentucky,Paris,0,1.0
351,"April 27, 2018",Maryland,Baltimore,0,1.0
352,"April 27, 2018",North Carolina,Lumberton,0,1.0
353,"April 27, 2018",Illinois,Chicago,0,1.0
354,"April 27, 2018",North Carolina,Lumberton,0,1.0
355,"April 27, 2018",Florida,Big Pine Key,0,1.0
356,"April 26, 2018",New Mexico,Carlsbad,0,1.0
357,"April 26, 2018",Iowa,Westgate,0,1.0
358,"April 26, 2018",North Carolina,Kinston,0,1.0
359,"April 25, 2018",Illinois,Chicago,0,1.0
360,"April 25, 2018",Florida,Winter Garden,0,1.0
361,"April 25, 2018",Michigan,South Haven,0,1.0
362,"April 24, 2018",Kansas,Hutchinson,0,1.0
363,"April 24, 2018",Louisiana,Baton Rouge,0,1.0
364,"April 22, 2018",Pennsylvania,Lancaster,0,1.0
365,"April 22, 2018",Ohio,Mansfield,0,1.0
366,"April 22, 2018",Alaska,Anchorage,0,1.0
367,"April 22, 2018",Georgia,Columbus,0,1.0
368,"April 22, 2018",Kansas,Overland Park,0,1.0
369,"April 22, 2018",Florida,Ocala,0,3.0
370,"April 21, 2018",Tennessee,Afton,0,1.0
371,"April 21, 2018",Virginia,Williamsburg,0,1.0
372,"April 19, 2018",Tennessee,Memphis,0,1.0
373,"April 19, 2018",North Carolina,Kinston,0,1.0
374,"April 19, 2018",Illinois,Chicago,0,1.0
375,"April 19, 2018",Michigan,Marshall,0,1.0
376,"April 18, 2018",Maine,Greene,0,1.0
377,"April 18, 2018",South Carolina,Chesnee,0,1.0
378,"April 18, 2018",Mississippi,Jackson,0,1.0
379,"April 17, 2018",Indiana,Merrillville,0,1.0
380,"April 17, 2018",Arkansas,Jonesboro,0,1.0
381,"April 17, 2018",Michigan,Detroit,0,1.0
382,"April 16, 2018",Mississippi,Natchez,0,1.0
383,"April 16, 2018",Kansas,Wichita,0,1.0
384,"April 16, 2018",Nevada,Reno,0,1.0
385,"April 15, 2018",Indiana,Fort Wayne,1,1.0
386,"April 15, 2018",Alabama,Montgomery,0,1.0
387,"April 15, 2018",Alabama,Mobile,0,1.0
388,"April 15, 2018",Nebraska,Lincoln,0,1.0
389,"April 15, 2018",South Carolina,Myrtle Beach,0,1.0
391,"April 14, 2018",Massachusetts,Palmer,1,1.0
392,"April 14, 2018",Missouri,Columbia,0,1.0
393,"April 14, 2018",Illinois,Chicago,0,1.0
394,"April 14, 2018",Virginia,Fredericksburg,0,1.0
397,"April 13, 2018",Tennessee,Cookeville,0,2.0
398,"April 13, 2018",Wisconsin,Milwaukee,0,1.0
399,"April 12, 2018",Indiana,South Bend,0,1.0
400,"April 12, 2018",Ohio,Heath,1,1.0
401,"April 12, 2018",Florida,Melbourne,0,1.0
402,"April 12, 2018",Florida,Bay (county),0,1.0
403,"April 12, 2018",Tennessee,Butler,0,1.0
404,"April 11, 2018",Utah,Salt Lake City (West Valley City),0,4.0
405,"April 11, 2018",South Carolina,Summerville,0,1.0
406,"April 11, 2018",North Carolina,Greensboro,0,1.0
407,"April 10, 2018",Ohio,Tipp City,0,1.0
408,"April 10, 2018",Texas,San Antonio,0,1.0
409,"April 10, 2018",New York,Syracuse,0,1.0
411,"April 9, 2018",Ohio,Youngstown,0,1.0
412,"April 9, 2018",Florida,North Port,0,1.0
413,"April 8, 2018",Maryland,Frederick,0,1.0
414,"April 7, 2018",Illinois,Chicago,0,1.0
415,"April 7, 2018",Maryland,Lothian,0,1.0
416,"April 7, 2018",South Carolina,Rock Hill,0,1.0
417,"April 7, 2018",Nebraska,Omaha,0,1.0
418,"April 7, 2018",Washington,Morton,0,1.0
419,"April 6, 2018",District of Columbia,Washington,0,1.0
420,"April 6, 2018",Alaska,Juneau,0,1.0
421,"April 5, 2018",California,Hemet,0,1.0
422,"April 5, 2018",Maryland,Baltimore,1,1.0
423,"April 5, 2018",Alabama,Leeds,0,1.0
424,"April 4, 2018",New Jersey,Hope (Knowlton Township),0,1.0
425,"April 4, 2018",Ohio,Elyria,0,1.0
426,"April 4, 2018",West Virginia,Shepherdstown,0,1.0
427,"April 3, 2018",Kentucky,Bell (county),0,1.0
428,"April 3, 2018",Washington,Spokane,0,1.0
429,"April 2, 2018",Alabama,Mobile,0,1.0
430,"April 2, 2018",Illinois,Lansing,0,1.0
431,"April 1, 2018",Louisiana,Eunice,0,1.0
432,"April 1, 2018",Tennessee,Goodlettsville,0,1.0
433,"April 1, 2018",Pennsylvania,Philadelphia,0,1.0
434,"April 1, 2018",Texas,Houston,0,1.0
435,"March 31, 2018",Virginia,Richmond,0,2.0
436,"March 31, 2018",New York,Rochester,0,1.0
437,"March 31, 2018",Alaska,Juneau,0,1.0
438,"March 31, 2018",South Dakota,Aberdeen,0,2.0
439,"March 30, 2018",California,Montgomery Creek,0,1.0
440,"March 30, 2018",California,Santa Rosa,0,1.0
441,"March 29, 2018",North Carolina,Reidsville,0,1.0
442,"March 29, 2018",Texas,Killeen,0,1.0
443,"March 29, 2018",Florida,Ocala,0,1.0
444,"March 28, 2018",Nevada,Las Vegas,0,1.0
445,"March 27, 2018",South Carolina,Clio,0,1.0
446,"March 27, 2018",New Jersey,Keasbey,0,1.0
447,"March 26, 2018",North Carolina,Salisbury,0,1.0
